,UniqueID,Date,Species,Breed,Age,Gender,Altered,Borough,Zipcode
74,74,February 24 2015,DOG,American Pitbull Terrier,10,F,TRUE,Brooklyn,11210
75,75,February 24 2015,DOG,Westie,NA,U,FALSE,Brooklyn,11234
76,76,February 22 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
77,77,February 21 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11231
78,78,February 26 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11206
79,79,February 22 2015,DOG,Foxhound,3,F,TRUE,Brooklyn,11209
80,80,February 23 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
81,81,February 26 2015,DOG,American Pitbull Terrier,1,M,FALSE,Brooklyn,11226
82,82,February 28 2015,DOG,Weimaraner,11,M,TRUE,Brooklyn,11230
83,83,February 26 2015,DOG,German Shepherd,NA,U,FALSE,Brooklyn,11220
84,84,February 01 2015,DOG,Rottweiler,NA,U,FALSE,Brooklyn,11215
85,85,March 01 2015,DOG,American Pitbull Terrier Mix,6,F,TRUE,Brooklyn,11225
86,86,February 28 2015,DOG,American Pitbull Terrier Mix,2,M,FALSE,Brooklyn,11228
87,87,February 10 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11221
88,88,March 03 2015,DOG,NA,NA,U,FALSE,Brooklyn,11235
89,89,March 04 2015,DOG,Korean Jindo,NA,M,TRUE,Brooklyn,11215
90,90,March 06 2015,DOG,American Pitbull Terrier Mix,10,F,FALSE,Brooklyn,11206
91,91,March 07 2015,DOG,English Bulldog,2,M,TRUE,Brooklyn,11201
92,92,February 27 2015,DOG,American Pitbull Terrier,3,M,FALSE,Brooklyn,11206
93,93,March 07 2015,DOG,Bulldog/Sharpei,11,M,TRUE,Brooklyn,11233
94,94,March 08 2015,DOG,Shih Tzu,4,M,FALSE,Brooklyn,11234
95,95,March 10 2015,DOG,Corgi Mix,NA,M,FALSE,Brooklyn,11201
96,96,March 06 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
97,97,March 12 2015,DOG,Jack Russell Terrier,0.583,M,FALSE,Brooklyn,11208
98,98,March 12 2015,DOG,Shih Tzu,NA,U,FALSE,Brooklyn,11217
99,99,February 26 2015,DOG,American Pitbull Terrier,2,M,FALSE,Brooklyn,11216
100,100,March 13 2015,DOG,Pug,6,M,TRUE,Brooklyn,11231
101,101,March 15 2015,DOG,Yorkshire Terrier,4,M,FALSE,Brooklyn,11205
102,102,March 14 2015,DOG,Chow Chow,3,M,FALSE,Brooklyn,11234
103,103,March 15 2015,DOG,American Staffordshire Terrier,8,M,TRUE,Brooklyn,11230
104,104,March 14 2015,DOG,Shepherd Mix,5,M,TRUE,Brooklyn,11229
105,105,March 16 2015,DOG,Maltese,7,M,TRUE,Brooklyn,11221
106,106,March 18 2015,DOG,American Pitbull Terrier,5,M,TRUE,Brooklyn,11207
107,107,March 16 2015,DOG,Yorkshire Terrier,1,M,FALSE,Brooklyn,11221
108,108,March 14 2015,DOG,Cocker Spaniel,NA,U,FALSE,Brooklyn,11213
109,109,March 16 2015,DOG,American Pitbull Terrier Mix,2,M,TRUE,Brooklyn,11234
110,110,March 16 2015,DOG,American Pitbull Terrier,NA,F,TRUE,Brooklyn,11223
111,111,March 17 2015,DOG,Border Collie,NA,U,FALSE,Brooklyn,NA
112,112,March 09 2015,DOG,Miniature Pinscher,NA,M,FALSE,Brooklyn,11235
113,113,March 22 2015,DOG,Shih Tzu,2,M,FALSE,Brooklyn,11223
114,114,March 21 2015,DOG,Doberman Pinscher,8,F,FALSE,Brooklyn,11204
115,115,March 22 2015,DOG,Shih Tzu,7,M,TRUE,Brooklyn,11208
116,116,March 22 2015,DOG,German Shepherd,NA,U,FALSE,Brooklyn,11217
117,117,March 21 2015,DOG,French Bulldog,6,M,TRUE,Brooklyn,11217
118,118,February 02 2015,DOG,Pekingese,4,M,FALSE,Brooklyn,11238
119,119,March 15 2015,DOG,Chihuahua,6,M,FALSE,Brooklyn,11221
120,120,March 25 2015,DOG,Terrier,5,M,FALSE,Brooklyn,11027
121,121,March 29 2015,DOG,American Pitbull Terrier,1,M,FALSE,Brooklyn,11224
122,122,March 20 2015,DOG,Harrier/Beagle,0.833,M,TRUE,Brooklyn,11235
123,123,March 27 2015,DOG,Terrier,NA,U,FALSE,Brooklyn,11215
124,124,March 28 2015,DOG,Dachshund, Long Haired Miniature,4,M,TRUE,Brooklyn,11234
125,125,March 29 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11217
126,126,March 24 2015,DOG,Boxer X W/ Pit Bull,8,M,TRUE,Brooklyn,11231
127,127,March 31 2015,DOG,Cocker Spaniel,3,F,FALSE,Brooklyn,NA
128,128,April 03 2015,DOG,Yorkshire Terrier,6,M,TRUE,Brooklyn,11233
129,129,April 02 2015,DOG,Chihuahua,NA,U,FALSE,Brooklyn,NA
130,130,April 06 2015,DOG,Bulldog,0.667,M,FALSE,Brooklyn,11213
131,131,April 06 2015,DOG,American Staffordshire Terrier,NA,U,FALSE,Brooklyn,11224
132,132,April 06 2015,DOG,American Pitbull Terrier,4,F,TRUE,Brooklyn,11212
133,133,March 31 2015,DOG,Pitbull/Lab Retriever,5,F,TRUE,Brooklyn,NA
134,134,March 27 2015,DOG,Boxer/Rhodesian Ridgeback X,5,F,FALSE,Brooklyn,11214
135,135,April 06 2015,DOG,Chihuahua Mix,0.333,M,FALSE,Brooklyn,11205
136,136,April 06 2015,DOG,Poodle,2,M,FALSE,Brooklyn,11213
137,137,April 07 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11231
138,138,April 01 2015,DOG,Bull Terrier,1,M,FALSE,Brooklyn,11201
139,139,April 08 2015,DOG,Catahoula Leopard Dog,1,M,TRUE,Brooklyn,11235
140,140,April 08 2015,DOG,NA,NA,U,FALSE,Brooklyn,11214
141,141,April 06 2015,DOG,Yorkshire Terrier,6,F,FALSE,Brooklyn,11219
142,142,April 10 2015,DOG,Cocker Spaniel Mix,5,M,TRUE,Brooklyn,11206
143,143,April 03 2015,DOG,Boxer/Hound/Pitbull,6,F,TRUE,Brooklyn,11216
144,144,April 12 2015,DOG,German Shepherd,11,F,TRUE,Brooklyn,11209
145,145,April 10 2015,DOG,English Bulldog,0.75,M,FALSE,Brooklyn,11220
146,146,April 10 2015,DOG,American Pitbull Terrier,0.5,M,FALSE,Brooklyn,11224
147,147,April 12 2015,DOG,Chihuahua,9,F,TRUE,Brooklyn,11224
148,148,April 10 2015,DOG,NA,NA,U,FALSE,Brooklyn,11208
149,149,April 09 2015,DOG,NA,NA,U,FALSE,Brooklyn,NA
150,150,April 13 2015,DOG,American Pitbull Terrier,9,M,FALSE,Brooklyn,11207
151,151,April 13 2015,DOG,Chihuahua,0.75,M,FALSE,Brooklyn,11208
152,152,April 14 2015,DOG,American Pitbull Terrier Mix,2,F,TRUE,Brooklyn,11216
153,153,April 10 2015,DOG,American Pitbull Terrier,3,M,TRUE,Brooklyn,NA
154,154,April 10 2015,DOG,Siberian Husky,NA,U,FALSE,Brooklyn,11226
155,155,April 14 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
156,156,April 16 2015,DOG,American Pitbull Terrier,1,F,FALSE,Brooklyn,11208
157,157,April 16 2015,DOG,Rottweiler,1,M,TRUE,Brooklyn,11228
158,158,April 14 2015,DOG,Beagle Mix,19,M,FALSE,Brooklyn,11214
159,159,April 20 2015,DOG,NA,NA,U,FALSE,Brooklyn,NA
160,160,April 18 2015,DOG,Australian Cattle,NA,F,FALSE,Brooklyn,NA
161,161,April 13 2015,DOG,NA,NA,U,FALSE,Brooklyn,11221
162,162,April 11 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11207
163,163,April 15 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
164,164,April 19 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11221
165,165,April 19 2015,DOG,German Shepherd Mix,15,F,TRUE,Brooklyn,11222
166,166,April 17 2015,DOG,Border Terrier,3,M,TRUE,Brooklyn,NA
167,167,April 17 2015,DOG,American Pitbull Terrier,3,M,FALSE,Brooklyn,11231
168,168,April 20 2015,DOG,NA,0.333,U,FALSE,Brooklyn,11224
169,169,April 18 2015,DOG,NA,NA,U,FALSE,Brooklyn,11220
170,170,April 19 2015,DOG,Italian Mastiff,3,F,FALSE,Brooklyn,11221
171,171,April 12 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11235
172,172,April 19 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11221
173,173,April 17 2015,DOG,Beagle/Jack Russ,4,M,TRUE,Brooklyn,11224
174,174,April 16 2015,DOG,NA,NA,U,FALSE,Brooklyn,NA
175,175,April 19 2015,DOG,American Pitbull Terrier,5,M,TRUE,Brooklyn,11218
176,176,April 12 2015,DOG,NA,NA,U,FALSE,Brooklyn,NA
177,177,April 22 2015,DOG,Maltese,7,F,TRUE,Brooklyn,11237
178,178,April 23 2015,DOG,Cane Corso,15,F,FALSE,Brooklyn,11238
179,179,April 22 2015,DOG,NA,NA,U,FALSE,Brooklyn,NA
180,180,April 23 2015,DOG,Parson Russellterr,2,M,TRUE,Brooklyn,11231
181,181,April 24 2015,DOG,Poodle,NA,U,FALSE,Brooklyn,11221
182,182,April 25 2015,DOG,Shih Tzu,5,M,TRUE,Brooklyn,11219
183,183,April 26 2015,DOG,American Staffordshire Terrier,2,M,FALSE,Brooklyn,11212
184,184,April 25 2015,DOG,American Pitbull Terrier,3,M,FALSE,Brooklyn,11221
185,185,April 25 2015,DOG,American Pitbull Terrier,3,M,FALSE,Brooklyn,11221
186,186,April 27 2015,DOG,American Pitbull Terrier,2,M,FALSE,Brooklyn,11218
187,187,April 20 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11218
188,188,April 25 2015,DOG,Unknown,NA,U,FALSE,Brooklyn,11201
189,189,April 25 2015,DOG,German Shepherd,7,M,TRUE,Brooklyn,11234
190,190,April 11 2015,DOG,American Pitbull Terrier,3,F,TRUE,Brooklyn,11220
191,191,April 29 2015,DOG,Pug,3,M,TRUE,Brooklyn,11223
192,192,April 29 2015,DOG,Pointer/Beagle X,7,F,FALSE,Brooklyn,11249
193,193,April 29 2015,DOG,Shiba Inu,5,M,TRUE,Brooklyn,11221
194,194,April 30 2015,DOG,NA,NA,U,FALSE,Brooklyn,11220
195,195,April 26 2015,DOG,Chihuahua,2,F,FALSE,Brooklyn,11220
196,196,April 30 2015,DOG,German Shepherd/Ridgeback,5,M,TRUE,Brooklyn,11231
197,197,May 01 2015,DOG,Bichon Frise,8,M,TRUE,Brooklyn,11223
198,198,May 01 2015,DOG,Staffordshire Terr,7,F,TRUE,Brooklyn,11221
199,199,April 19 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11223
200,200,May 02 2015,DOG,Chihuahua Mix,NA,U,FALSE,Brooklyn,11214
201,201,May 02 2015,DOG,Border Collie,14,M,TRUE,Brooklyn,11234
202,202,May 04 2015,DOG,American Pitbull Terrier Mix,0.667,M,FALSE,Brooklyn,11204
203,203,May 04 2015,DOG,Belgian Malinois,NA,U,FALSE,Brooklyn,11213
204,204,May 01 2015,DOG,Boxer,2,M,TRUE,Brooklyn,11237
205,205,May 03 2015,DOG,NA,NA,U,FALSE,Brooklyn,11216
206,206,May 01 2015,DOG,Maltese - X,3,F,FALSE,Brooklyn,11209
207,207,May 05 2015,DOG,German Shepherd,NA,U,FALSE,Brooklyn,11220
208,208,May 01 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
209,209,May 06 2015,DOG,Collie, Smooth Coat,10,F,TRUE,Brooklyn,11220
210,210,April 29 2015,DOG,NA,7,M,FALSE,Brooklyn,11204
211,211,May 06 2015,DOG,Chihuahua/Boston Terr X,5,M,TRUE,Brooklyn,11222
212,212,April 08 2015,DOG,Husky/Cattle Dog Mix,4,M,TRUE,Brooklyn,NA
213,213,April 08 2015,DOG,Husky/Cattle Mix,4,M,TRUE,Brooklyn,NA
214,214,May 10 2015,DOG,American Pitbull Terrier,13,M,TRUE,Brooklyn,11234
215,215,May 10 2015,DOG,American Staffordshire Terrier,2,M,FALSE,Brooklyn,11228
216,216,May 09 2015,DOG,Siberian Husky,14,M,TRUE,Brooklyn,11231
217,217,May 09 2015,DOG,American Pitbull Terrier Mix,5,F,TRUE,Brooklyn,11208
218,218,May 01 2015,DOG,American Staffordshire Terrier,8,M,TRUE,Brooklyn,11217
219,219,May 09 2015,DOG,NA,NA,U,FALSE,Brooklyn,NA
220,220,May 03 2015,DOG,American Pitbull Terrier,NA,F,FALSE,Brooklyn,11231
221,221,May 11 2015,DOG,NA,NA,U,FALSE,Brooklyn,NA
222,222,May 07 2015,DOG,Australian Shepherd,5,M,TRUE,Brooklyn,11238
223,223,May 08 2015,DOG,NA,NA,U,FALSE,Brooklyn,11209
224,224,May 09 2015,DOG,American Pitbull Terrier,8,M,TRUE,Brooklyn,11219
225,225,May 11 2015,DOG,American Pitbull Terrier,2,F,FALSE,Brooklyn,11218
226,226,April 25 2015,DOG,Shih Tzu,4,M,TRUE,Brooklyn,11226
227,227,May 03 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11235
228,228,May 10 2015,DOG,American Pitbull Terrier Mix,3,F,FALSE,Brooklyn,NA
229,229,May 12 2015,DOG,American Pitbull Terrier Mix,5,M,TRUE,Brooklyn,11213
230,230,April 30 2015,DOG,NA,NA,U,FALSE,Brooklyn,NA
231,231,May 12 2015,DOG,Bloodhound,4,M,TRUE,Brooklyn,11231
232,232,May 12 2015,DOG,Jack Russell Terrier,10,M,TRUE,Brooklyn,11215
233,233,May 14 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11211
234,234,May 14 2015,DOG,Cocker Spaniel, American,10,M,TRUE,Brooklyn,11220
235,235,May 09 2015,DOG,Siberian Husky,NA,U,FALSE,Brooklyn,NA
236,236,May 14 2015,DOG,American Pitbull Terrier,6,M,FALSE,Brooklyn,11232
237,237,May 12 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
238,238,April 28 2015,DOG,American Pitbull Terrier Mix,1,M,TRUE,Brooklyn,11234
239,239,May 15 2015,DOG,Cocker Spaniel Mix,NA,M,FALSE,Brooklyn,11205
240,240,May 18 2015,DOG,American Staffordshire Terrier,2,M,FALSE,Brooklyn,11211
241,241,May 18 2015,DOG,American Staffordshire Terrier,2,M,FALSE,Brooklyn,11211
242,242,May 17 2015,DOG,NA,NA,U,FALSE,Brooklyn,NA
243,243,January 08 2015,DOG,American Pitbull Terrier,1,M,TRUE,Brooklyn,11224
244,244,May 12 2015,DOG,Cane Corso,5,F,TRUE,Brooklyn,11233
245,245,May 05 2015,DOG,Terrier,NA,U,FALSE,Brooklyn,NA
246,246,May 17 2015,DOG,NA,NA,U,FALSE,Brooklyn,11226
247,247,May 18 2015,DOG,NA,NA,U,FALSE,Brooklyn,NA
248,248,May 16 2015,DOG,Border Collie/Jack Russell,0.917,F,TRUE,Brooklyn,NA
249,249,May 06 2015,DOG,Corgi,NA,M,FALSE,Brooklyn,11222
250,250,May 21 2015,DOG,Shih Tzu,NA,U,FALSE,Brooklyn,11229
251,251,May 21 2015,DOG,NA,NA,U,FALSE,Brooklyn,11233
252,252,May 20 2015,DOG,Na,1,F,TRUE,Brooklyn,11201
253,253,May 24 2015,DOG,Na,2,M,TRUE,Brooklyn,NA
254,254,May 24 2015,DOG,Pit Bull/Lab X,2,F,FALSE,Brooklyn,11236
255,255,May 24 2015,DOG,Pit Bull/Lab X,2,F,FALSE,Brooklyn,11236
256,256,May 24 2015,DOG,Labrador Retriever,NA,U,FALSE,Brooklyn,11215
257,257,May 24 2015,DOG,NA,1,M,FALSE,Brooklyn,11207
258,258,May 22 2015,DOG,NA,NA,U,FALSE,Brooklyn,NA
259,259,May 25 2015,DOG,Labrador Retriever,3,F,FALSE,Brooklyn,11234
260,260,May 25 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
261,261,May 17 2015,DOG,NA,NA,U,FALSE,Brooklyn,11226
262,262,May 23 2015,DOG,Tibetan Mastiff,1,M,TRUE,Brooklyn,11214
263,263,May 23 2015,DOG,Maltese Mix,4,M,TRUE,Brooklyn,NA
264,264,May 24 2015,DOG,Schnauzer,NA,M,FALSE,Brooklyn,11215
265,265,May 18 2015,DOG,NA,NA,U,FALSE,Brooklyn,11220
266,266,May 23 2015,DOG,NA,NA,U,FALSE,Brooklyn,NA
267,267,May 27 2015,DOG,NA,NA,U,FALSE,Brooklyn,11226
268,268,May 28 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11237
269,269,May 24 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11221
270,270,May 23 2015,DOG,American Pitbull Terrier Mix,6,M,TRUE,Brooklyn,11205
271,271,May 28 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11213
272,272,May 28 2015,DOG,American Pitbull Terrier Mix,3,M,FALSE,Brooklyn,11236
273,273,May 26 2015,DOG,Saint Bernard,NA,U,FALSE,Brooklyn,11214
274,274,May 28 2015,DOG,Chihuahua,NA,U,FALSE,Brooklyn,11208
275,275,May 30 2015,DOG,West High White Terrier,4,M,FALSE,Brooklyn,11224
276,276,May 30 2015,DOG,West High White Terrier,4,M,FALSE,Brooklyn,11224
277,277,May 31 2015,DOG,Chihuahua,1,M,FALSE,Brooklyn,11207
278,278,May 30 2015,DOG,Border Collie,NA,U,FALSE,Brooklyn,11211
279,279,May 29 2015,DOG,Lab Mix,8,F,TRUE,Brooklyn,11229
280,280,May 30 2015,DOG,NA,NA,U,FALSE,Brooklyn,11207
281,281,May 28 2015,DOG,NA,NA,U,FALSE,Brooklyn,11232
282,282,May 31 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
283,283,June 01 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11207
284,284,June 02 2015,DOG,Chow Chow,1,M,FALSE,Brooklyn,11233
285,285,June 02 2015,DOG,Doberman Pinscher,7,M,TRUE,Brooklyn,11228
286,286,June 01 2015,DOG,Yorkshire Terrier,2,M,FALSE,Brooklyn,11217
287,287,May 27 2015,DOG,Teacup Yorkie,NA,U,FALSE,Brooklyn,NA
288,288,June 03 2015,DOG,Shorky,8,M,TRUE,Brooklyn,11238
289,289,May 31 2015,DOG,Havanese X,4,M,TRUE,Brooklyn,11236
290,290,May 27 2015,DOG,Blue Heeler Mix,9,M,TRUE,Brooklyn,11237
291,291,June 04 2015,DOG,American Pitbull Terrier,3,F,TRUE,Brooklyn,11226
292,292,June 04 2015,DOG,American Pitbull Terrier,4,M,FALSE,Brooklyn,11226
293,293,June 04 2015,DOG,Yorkshire Terrier,2,M,TRUE,Brooklyn,11214
294,294,June 05 2015,DOG,NA,NA,U,FALSE,Brooklyn,11232
295,295,June 06 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
296,296,June 06 2015,DOG,Chow Chow,4,M,FALSE,Brooklyn,11234
297,297,June 05 2015,DOG,Lhasa Apso,5,M,TRUE,Brooklyn,11231
298,298,June 06 2015,DOG,Poodle,3,M,TRUE,Brooklyn,11234
299,299,June 07 2015,DOG,German Shorthaired Pointer,8,F,TRUE,Brooklyn,11231
300,300,June 07 2015,DOG,NA,NA,U,FALSE,Brooklyn,NA
301,301,May 30 2015,DOG,Schnoodle,NA,U,FALSE,Brooklyn,11211
302,302,May 30 2015,DOG,Chow Chow,2,M,FALSE,Brooklyn,11208
303,303,June 09 2015,DOG,NA,NA,U,FALSE,Brooklyn,NA
304,304,June 05 2015,DOG,Yorkshire Terrier,NA,U,FALSE,Brooklyn,11221
305,305,June 10 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11237
306,306,June 09 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11213
307,307,June 10 2015,DOG,NA,5,M,FALSE,Brooklyn,11223
308,308,June 10 2015,DOG,Cane Corso,2,M,FALSE,Brooklyn,11224
309,309,June 09 2015,DOG,English Setter,6,M,FALSE,Brooklyn,NA
310,310,May 07 2015,DOG,NA,6,F,FALSE,Brooklyn,11226
311,311,June 09 2015,DOG,American Pitbull Terrier Mix,2,F,FALSE,Brooklyn,11208
312,312,June 09 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11224
313,313,June 12 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11233
314,314,June 12 2015,DOG,Maltese,NA,U,FALSE,Brooklyn,11235
315,315,June 12 2015,DOG,NA,NA,U,FALSE,Brooklyn,11222
316,316,June 14 2015,DOG,Terrier Mix,6,M,TRUE,Brooklyn,NA
317,317,June 06 2015,DOG,NA,NA,U,FALSE,Brooklyn,NA
318,318,June 14 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,11208
319,319,June 13 2015,DOG,American Pitbull Terrier,NA,U,FALSE,Brooklyn,NA
320,320,June 14 2015,DOG,Jack Russell Terrier,3,F,TRUE,Brooklyn,NA
321,321,June 12 2015,DOG,NA,NA,U,FALSE,Brooklyn,11220
322,322,June 14 2015,DOG,NA,NA,U,FALSE,Brooklyn,NA
